bus interior not cleaned properly,Transport
driver ignoring traffic rules,Transport
bus delayed without reason,Transport
bus service irregular in area,Transport
bus skipping multiple stops,Transport
bus overcrowded beyond capacity,Transport
bus breakdown causing delay,Transport
bus stand lacks seating facility,Transport
driver not following route properly,Transport
bus arrives late every evening,Transport
no buses available on weekends,Transport
bus staff misbehaving with passengers,Transport
bus timing not updated in app,Transport
bus not available during peak time,Transport
driver driving aggressively,Transport
bus stand very dirty,Transport
bus door malfunctioning,Transport
bus overcrowding unsafe,Transport
bus stop lacks proper lighting,Transport
bus route unclear to passengers,Transport
bus arrives too late at night,Transport
bus missing scheduled trips,Transport
bus service unreliable daily,Transport
bus stop sign missing,Transport
bus arrives late daily,Transport
bus delay more than 30 minutes,Transport
bus overcrowded during peak hours,Transport
driver not stopping at bus stop,Transport
rash driving by bus driver,Transport
bus breakdown in middle of route,Transport
dirty bus interiors,Transport
text,category
bus arriving late every morning,Transport
bus delayed by more than one hour,Transport
bus not stopping at designated stop,Transport
driver ignoring passengers at stop,Transport
bus overcrowded during office hours,Transport
no seats available in peak time bus,Transport
bus service not available after evening,Transport
bus route changed without prior notice,Transport
driver driving bus very rashly,Transport
conductor behaving rudely with passengers,Transport
bus broke down in middle of journey,Transport
bus interior very dirty and unhygienic,Transport
bus seats torn and uncomfortable,Transport
bus windows not closing properly,Transport
driver using mobile phone while driving,Transport
bus making loud engine noise,Transport
bus not following scheduled timing,Transport
long waiting time at bus stop,Transport
bus skipping stops frequently,Transport
public transport not reliable in area,Transport
no buses available in rural area,Transport
bus stop shelter damaged and broken,Transport
bus stop sign missing completely,Transport
driver not issuing proper tickets,Transport
bus conductor not giving change,Transport
bus AC not working in hot weather,Transport
bus overcrowding causing discomfort,Transport
bus doors not closing properly,Transport
driver overspeeding on highway,Transport
bus taking unnecessary long routes,Transport
bus not stopping despite signal,Transport
bus route information not displayed,Transport
bus timing app showing incorrect data,Transport
bus running very late at night,Transport
no buses available early morning,Transport
bus frequency very low on this route,Transport
bus driver not following traffic rules,Transport
bus conductor arguing with passengers,Transport
bus emitting black smoke,Transport
bus engine overheating frequently,Transport
bus stop occupied by vendors,Transport
bus stand not clean and maintained,Transport
bus seat reserved for elderly occupied,Transport
bus emergency exit door not working,Transport
bus lights not working at night,Transport
bus horn too loud causing disturbance,Transport
driver not allowing passengers to board,Transport
bus overcrowded near school hours,Transport
bus route number not visible,Transport
bus stopping far from designated stop,Transport
driver not responding to passenger requests,Transport
bus fare too high without reason,Transport
bus service cancelled without notice,Transport
bus not coming as per schedule,Transport
bus taking too many breaks on route,Transport
bus condition very poor and unsafe,Transport
bus shaking while moving,Transport
driver braking suddenly causing danger,Transport
bus not maintained properly,Transport
bus missing trips regularly,Transport
bus stop lights not working at night,Transport
bus arriving too early before time,Transport
bus conductor not helping passengers,Transport
bus delay causing inconvenience daily,Transport
bus crowded beyond capacity,Transport
driver not stopping at requested stop,Transport
bus route confusing for new passengers,Transport
bus service irregular in this area,Transport
bus stand lacks seating facilities,Transport
bus doors jammed and unsafe,Transport
bus not cleaned regularly,Transport
bus making strange noises while moving,Transport
driver honking excessively in city,Transport
bus not stopping for senior citizens,Transport
bus not following proper route map,Transport
bus stand overcrowded and unmanaged,Transport
bus not available on weekends,Transport
bus delay due to poor management,Transport
bus route overlapping causing confusion,Transport
bus not providing proper change,Transport
bus service reduced without notice,Transport
bus not stopping at terminal,Transport
bus condition deteriorating daily,Transport
bus schedule not displayed at stop,Transport
bus driver not cooperative,Transport
bus missing stops intentionally,Transport
bus overcrowding unsafe for passengers,Transport
bus not running on fixed time,Transport
bus stop area very congested,Transport
bus services unreliable during rain,Transport
bus driver careless driving,Transport
bus maintenance very poor,Transport
bus not stopping at signal,Transport
bus interior lights flickering,Transport
bus driver ignoring traffic signals,Transport
bus delay causing students to be late,Transport
bus service insufficient for demand,Transport
bus route information incorrect,Transport
route changed without notice,Transport
less buses available on route,Transport
bus skipping stops frequently,Transport
no proper timing for buses,Transport
bus conductor misbehavior,Transport
bus seats damaged,Transport
bus windows broken,Transport
over speeding by bus driver,Transport
bus not following schedule,Transport
long waiting time for bus,Transport
bus service unavailable in area,Transport
bus stop not maintained,Transport
public transport not reliable,Transport
street light not working,Street_Light
pole leaning dangerously,Street_Light
dark area between two lights,Street_Light
open wires hanging,Street_Light
dim street light,Street_Light
light stays on during day,Street_Light
sparks from junction box,Street_Light
rusty pole may fall,Street_Light
no lights in park,Street_Light
pole bent after accident,Street_Light
cable fault causing blackout,Street_Light
dust on light cover reducing brightness,Street_Light
light flickering continuously,Street_Light
no lights in new colony,Street_Light
smart light not functioning,Street_Light
street light completely off,Street_Light
light flickering near junction,Street_Light
pole damaged due to accident,Street_Light
no light in residential street,Street_Light
dim light near park area,Street_Light
electric pole unstable,Street_Light
street light not repaired for weeks,Street_Light
wires exposed from pole,Street_Light
street dark due to no lights,Street_Light
light blinking frequently,Street_Light
faulty timer in street light,Street_Light
broken lamp cover,Street_Light
no lights near bus stop,Street_Light
pole bent dangerously,Street_Light
light not functioning at night,Street_Light
short circuit in street light,Street_Light
lights too weak for visibility,Street_Light
damaged wiring on street pole,Street_Light
street unsafe due to darkness,Street_Light
light outage in entire area,Street_Light
light not installed in new street,Street_Light
electric pole rusted heavily,Street_Light
no maintenance of street lights,Street_Light
lights turning off randomly,Street_Light
street remains dark at night,Street_Light
broken street light glass,Street_Light
wire hanging dangerously low,Street_Light
light issue near school road,Street_Light
complete blackout in street,Street_Light
light not working after rain,Street_Light
street light not working at night,Street_Light
street light completely off for two days,Street_Light
light not glowing in front of house,Street_Light
dark street due to faulty street light,Street_Light
street lamp flickering continuously,Street_Light
street light turning on and off repeatedly,Street_Light
no street lighting in residential area,Street_Light
street light broken after storm,Street_Light
electric pole light not functioning,Street_Light
dim light causing visibility issues,Street_Light
street light not repaired for weeks,Street_Light
lamp not glowing on main road,Street_Light
dark area near park due to no lights,Street_Light
street light wire damaged,Street_Light
open wiring near street light pole,Street_Light
street light glass broken,Street_Light
bulb fused in street light,Street_Light
no illumination on road at night,Street_Light
street light not turning on automatically,Street_Light
faulty timer in street lighting system,Street_Light
street light pole tilted dangerously,Street_Light
electric pole about to fall,Street_Light
street light blinking frequently,Street_Light
light too dim for safe walking,Street_Light
complete darkness on street,Street_Light
no lights near bus stop,Street_Light
street light not working for months,Street_Light
broken street light near junction,Street_Light
street light damaged due to accident,Street_Light
lamp post fallen on roadside,Street_Light
street light not connected after installation,Street_Light
new street lights not operational,Street_Light
street light obstructed by tree branches,Street_Light
light blocked by advertisement board,Street_Light
street light cable hanging loose,Street_Light
live wire exposed on pole,Street_Light
short circuit in street light system,Street_Light
sparks coming from street light box,Street_Light
street light causing electric shock risk,Street_Light
light staying on during daytime,Street_Light
automatic light system not working,Street_Light
street light sensor failure,Street_Light
street light timing incorrect,Street_Light
street light not turning off during day,Street_Light
light flickers during rain,Street_Light
water leakage near electric pole,Street_Light
street light base rusted,Street_Light
pole corroded and weak,Street_Light
light cover missing,Street_Light
street light lens broken,Street_Light
street light not bright enough,Street_Light
area poorly lit at night,Street_Light
unsafe road due to no lighting,Street_Light
dark alley due to no street lights,Street_Light
street light missing completely,Street_Light
no pole installed in area,Street_Light
street light installation incomplete,Street_Light
street light fallen after heavy rain,Street_Light
electric pole bent,Street_Light
loose pole foundation,Street_Light
street light shaking in wind,Street_Light
street light issue not resolved,Street_Light
complaint raised but not fixed,Street_Light
maintenance required for street light,Street_Light
street light damaged by vehicle,Street_Light
pole hit by truck,Street_Light
light not working after repair,Street_Light
street light repaired but still faulty,Street_Light
street light giving low brightness,Street_Light
power supply issue in street light,Street_Light
transformer issue causing blackout,Street_Light
complete blackout in street,Street_Light
no lighting in colony roads,Street_Light
street light issue near school,Street_Light
dark road causing accidents,Street_Light
street light needed urgently,Street_Light
area unsafe without lighting,Street_Light
no light in pedestrian walkway,Street_Light
footpath not visible at night,Street_Light
street light issue near hospital,Street_Light
dark road near market,Street_Light
no visibility due to light failure,Street_Light
street light pole cracked,Street_Light
damaged pole structure,Street_Light
street light maintenance pending,Street_Light
lights not working after installation,Street_Light
faulty wiring in lighting system,Street_Light
street light blinking like disco,Street_Light
light randomly switching off,Street_Light
street light not stable,Street_Light
power fluctuation in street light,Street_Light
street light delay in switching on,Street_Light
light turning off too early,Street_Light
light turning on too late,Street_Light
inconsistent street lighting,Street_Light
text,category
street light not glowing at night,Street_Light
lamp post completely dark in residential area,Street_Light
bulb fused in street light pole,Street_Light
street light turning on and off repeatedly,Street_Light
electric pole light not working for a week,Street_Light
street light wire exposed and dangerous,Street_Light
no lighting on main road causing accidents,Street_Light
dim light near bus stop area,Street_Light
street light damaged after storm,Street_Light
broken lamp cover on street pole,Street_Light
light not switching on automatically at night,Street_Light
street light timer malfunctioning,Street_Light
no illumination on highway stretch,Street_Light
pole light blinking continuously,Street_Light
street light cable cut and hanging,Street_Light
area completely dark due to light failure,Street_Light
street lamp flickering near junction,Street_Light
electric pole damaged and light not working,Street_Light
no street lighting in newly constructed area,Street_Light
street light not repaired for many days,Street_Light
bulb missing from street light pole,Street_Light
light not turning off during daytime,Street_Light
street light power supply issue,Street_Light
faulty wiring in street light system,Street_Light
light pole shaking during wind,Street_Light
no backup power for street lights,Street_Light
street light brightness too low,Street_Light
broken pole base causing risk,Street_Light
light not covering full road area,Street_Light
street light failure near school zone,Street_Light
pole light not functioning near hospital,Street_Light
electric short in street lighting system,Street_Light
street light disconnected from power line,Street_Light
lamp not glowing due to wiring issue,Street_Light
street light not installed in dark area,Street_Light
light pole fallen after heavy rain,Street_Light
street light sensor not working properly,Street_Light
continuous flickering causing disturbance,Street_Light
street light panel box open and unsafe,Street_Light
damaged electric junction box near pole,Street_Light
light not working on bridge road,Street_Light
multiple street lights not working in row,Street_Light
street light issue not resolved for months,Street_Light
dark street due to multiple light failures,Street_Light
broken light holder in pole,Street_Light
electric line disconnected from pole light,Street_Light
street light problem causing unsafe road,Street_Light
lamp pole rusted and unstable,Street_Light
street light obstructed by tree branches,Street_Light
no light in public park pathway,Street_Light
street light failure near railway crossing,Street_Light
light pole base cracked and weak,Street_Light
damaged LED street light not replaced,Street_Light
street light not working in rainy season,Street_Light
light issue reported but not fixed,Street_Light
street light not glowing after maintenance,Street_Light
power fluctuation affecting street lights,Street_Light
street light not functioning on service road,Street_Light
dark area due to non-functional lamp posts,Street_Light
street light outage in entire street,Street_Light
no water supply for two days,Water
low pressure in tap water,Water
pipe leakage causing water loss,Water
dirty water coming from tap,Water
irregular water supply schedule,Water
pipeline burst near road,Road
overflowing water tank in area,Water
water stopped suddenly today,Water
unsafe drinking water,Water
tap leaking continuously,Water
no clean water available,Water
water smells bad,Water
broken underground pipeline,Water
water shortage in locality,Water
no water in apartment,Water
muddy water from tap,Water
uneven water distribution,Water
slow water flow issue,Water
water issue in building,Water
public tap broken,Water
chemical smell in water,Water
low pressure in upper floors,Water
pipeline leak on street,Water
brown water supply issue,Water
water supply duration too short,Water
air bubbles in water pipe,Water
pipeline burst near metro,Water
impure water supply,Water
no water for several days,Water
leakage in water tank,Water
no water supply since morning,Water
low water pressure in area,Water
water leakage in pipeline,Water
dirty water coming from tap,Water
irregular water supply timing,Water
burst pipeline on road,Water
overflow from water tank,Water
water supply stopped suddenly,Water
contaminated drinking water,Water
pipe leakage near house,Water
no drinking water available,Water
water smell is bad,Water
pipeline broken underground,Water
water shortage in area,Water
water not coming for days,Water
no water supply in my area since morning,Water
water not coming from tap,Water
low water pressure in house,Water
water supply stopped suddenly,Water
dirty water coming from tap,Water
muddy water supply in kitchen,Water
bad smell from tap water,Water
water has strange odor,Water
contaminated drinking water supply,Water
pipeline leakage near house,Water
water pipe burst on road,Water
overflowing water tank in street,Water
irregular water supply timing,Water
water available only for few minutes,Water
no drinking water available,Water
water shortage in locality,Water
tap water is yellow in color,Water
brown water coming from pipeline,Water
sewage mixed with drinking water,Water
worms found in water supply,Water
sand particles in tap water,Water
air coming instead of water from tap,Water
very slow water flow from tap,Water
public tap not working,Water
water valve leakage on road,Water
broken tap handle in public tap,Water
water meter not working properly,Water
tanker water not delivered,Water
water supply delayed today,Water
no water for last two days,Water
no water for last three days,Water
pipeline broken underground,Water
water leaking continuously on street,Water
water wastage due to leakage,Water
main water line damaged,Water
low pressure in overhead tank supply,Water
water supply not reaching top floors,Water
uneven water distribution in area,Water
water comes only at midnight,Water
water supply at odd hours,Water
bad taste in drinking water,Water
chemical smell in tap water,Water
water looks oily and unsafe,Water
public water standpost damaged,Water
tap missing in public water point,Water
leakage in community water tank,Water
overflow from overhead tank,Water
water clogging due to leakage,Water
burst pipe flooding street,Water
water pipeline repair incomplete,Water
frequent water supply interruptions,Water
water cuts without notice,Water
insufficient water supply in apartment,Water
water not sufficient for daily use,Water
tap water unsafe for drinking,Water
drinking water contamination issue,Water
pipeline crossing sewage line,Water
water supply contaminated with waste,Water
water quality very poor,Water
bad odor in municipal water,Water
rusty water coming from tap,Water
water color is reddish,Water
water pressure fluctuating,Water
sudden drop in water pressure,Water
water supply irregular in morning,Water
no water during peak hours,Water
water pump not working,Water
motor failure affecting water supply,Water
broken pipeline near road,Water
water leakage near construction site,Water
water logging due to pipe burst,Water
standing water due to leakage,Water
excessive water wastage on road,Water
leaking water valve near junction,Water
damaged water distribution line,Water
public tap always dry,Water
water tanker arrives late,Water
tanker water quality is poor,Water
no water supply in hostel,Water
water issue in residential building,Water
water not available in office area,Water
water shortage in summer season,Water
irregular supply affecting daily routine,Water
tap water contains impurities,Water
visible dirt in drinking water,Water
water smells like sewage,Water
water supply system needs maintenance,Water
frequent pipeline bursts in area,Water
water leakage not repaired,Water
complaint raised but no water supply yet,Water
water supply system failure,Water
municipal water supply not working,Water
garbage not collected for a week,Garbage
dogs scattering waste,Garbage
meat waste causing smell,Garbage
medical waste in public bin,Garbage
garbage burning in open,Garbage
bin placed in middle of road,Garbage
leakage from garbage truck,Garbage
e-waste mixed with regular waste,Garbage
plastic blocking drains,Garbage
overflowing garbage bins,Garbage
no garbage collection vehicle,Garbage
waste dumped in empty plot,Garbage
foul smell from garbage area,Garbage
mosquito breeding in waste,Garbage
garbage blocking drainage,Garbage
garbage not picked up regularly,Garbage
dustbin overflowing daily,Garbage
no garbage bins nearby,Garbage
waste dumped illegally,Garbage
bad odor from garbage pile,Garbage
dead animal lying on road,Garbage
trash spread across street,Garbage
garbage scattered everywhere,Garbage
waste management poor,Garbage
bin always full,Garbage
garbage blocking drains,Garbage
unclean streets due to waste,Garbage
garbage near houses,Garbage
plastic waste accumulation,Garbage
food waste causing insects,Garbage
garbage not cleared daily,Garbage
delay in waste collection,Garbage
illegal dumping observed,Garbage
sanitation affected by garbage,Garbage
garbage truck not arriving,Garbage
overflowing bins attracting animals,Garbage
waste dumped in park area,Garbage
residents throwing garbage outside,Garbage
strong smell from waste,Garbage
plastic dumped in empty plot,Garbage
garbage spilling from truck,Garbage
burning garbage causing pollution,Garbage
mixed waste collection issue,Garbage
dead animal not removed quickly,Garbage
drain blocked by garbage,Garbage
garbage not collected for days,Garbage
overflowing garbage bin near house,Garbage
trash lying on roadside,Garbage
waste dumped in empty plot,Garbage
bad smell from garbage pile,Garbage
dustbin overflowing in street,Garbage
no garbage collection in area,Garbage
garbage scattered on road,Garbage
waste not cleared regularly,Garbage
garbage causing foul smell,Garbage
plastic waste blocking drainage,Garbage
food waste dumped on street,Garbage
garbage attracting stray dogs,Garbage
garbage pile attracting flies,Garbage
mosquito breeding in garbage,Garbage
garbage blocking drainage,Garbage
illegal dumping of waste,Garbage
garbage thrown in open area,Garbage
waste collection delayed,Garbage
unclean street due to garbage,Garbage
garbage near residential area,Garbage
no dustbin available nearby,Garbage
public dustbin missing,Garbage
dustbin broken and unusable,Garbage
garbage burning in open area,Garbage
smoke from burning garbage,Garbage
garbage truck not coming regularly,Garbage
waste not picked up on time,Garbage
garbage lying for a week,Garbage
trash accumulated near market,Garbage
garbage near bus stop,Garbage
waste thrown near school,Garbage
garbage dumped near hospital,Garbage
bad odor from waste area,Garbage
rotting garbage causing smell,Garbage
wet waste mixed with dry waste,Garbage
no waste segregation followed,Garbage
garbage collectors mixing waste,Garbage
waste management poor in locality,Garbage
overflowing bins attracting animals,Garbage
stray dogs tearing garbage bags,Garbage
garbage scattered by animals,Garbage
dead animal not removed,Garbage
dead rat lying on road,Garbage
carcass not cleaned from street,Garbage
medical waste in public bin,Garbage
hazardous waste mixed with garbage,Garbage
e-waste dumped in open,Garbage
construction debris dumped illegally,Garbage
garbage dumped in park area,Garbage
waste thrown near playground,Garbage
garbage near water bodies,Garbage
plastic waste everywhere,Garbage
polythene waste blocking drains,Garbage
drainage clogged with garbage,Garbage
garbage pile near entrance,Garbage
waste dumped near gate,Garbage
garbage near apartment entrance,Garbage
garbage issue not resolved,Garbage
complaint raised but garbage not cleared,Garbage
garbage collection skipped today,Garbage
garbage vehicle not arrived,Garbage
waste pickup irregular,Garbage
garbage lying unattended,Garbage
unclean garbage area,Garbage
bad sanitation due to garbage,Garbage
waste creating hygiene issue,Garbage
garbage causing health problems,Garbage
flies due to garbage pile,Garbage
bad smell spreading in area,Garbage
waste accumulation increasing daily,Garbage
garbage not removed after festival,Garbage
extra waste not collected,Garbage
overflowing bins during weekends,Garbage
garbage truck leaking waste,Garbage
waste falling from collection vehicle,Garbage
garbage spilling on road,Garbage
dustbin placed in wrong location,Garbage
garbage bin in middle of road,Garbage
no proper waste disposal system,Garbage
waste dumped behind building,Garbage
garbage thrown from balconies,Garbage
residents dumping waste openly,Garbage
garbage not segregated,Garbage
improper waste handling,Garbage
waste piling up near houses,Garbage
garbage collection needs improvement,Garbage
garbage issue affecting daily life,Garbage
garbage not cleaned near shops,Garbage
trash pile growing daily,Garbage
waste causing pollution,Garbage
dirty surroundings due to garbage,Garbage
garbage lying near footpath,Garbage
trash blocking pedestrian path,Garbage
waste accumulation near drainage,Garbage
garbage issue near commercial area,Garbage
